,State,Offer_diagnostic_evaluations,NO_identified_mental_health_treatment_approaches,Provides_sign_language,Provides_languages_other_than_English,Regularly_scheduled_quality_reviews,Regularly_followup_after_discharge
1,AK,82,0,38,49,66,57
2,AL,150,0,128,131,120,119
3,AR,220,1,146,166,177,157
4,AZ,293,1,256,322,237,185
5,CA,788,3,439,747,636,404
6,CO,167,1,95,146,128,81
7,CT,209,2,79,147,157,112
8,DC,35,0,17,29,21,14
9,DE,33,0,19,24,17,23
10,FL,438,6,342,376,340,316
11,GA,203,0,137,165,158,161
12,HI,38,0,19,31,24,23
13,IA,125,1,68,79,92,74
14,ID,125,0,41,64,75,82
15,IL,315,1,195,240,253,194
16,IN,246,1,209,215,187,179
17,KS,106,0,63,86,91,55
18,KY,208,0,159,152,180,117
19,LA,171,0,98,108,119,111
20,MA,285,0,140,211,213,157
21,MD,198,6,86,129,154,144
22,ME,131,5,97,86,135,105
23,MI,341,0,237,254,285,220
24,MN,226,0,135,142,168,134
25,MO,197,0,152,139,153,118
26,MS,141,0,99,90,138,122
27,MT,77,0,32,17,50,52
28,NC,212,2,109,151,214,200
29,ND,32,0,18,23,25,22
30,NE,117,9,72,100,112,100
31,NH,48,1,39,41,45,21
32,NJ,281,1,110,217,194,166
33,NM,62,0,37,55,42,40
34,NV,46,0,24,38,30,26
35,NY,774,6,400,665,629,498
36,OH,532,1,354,356,461,384
37,OK,139,0,86,104,115,121
38,OR,149,1,75,116,105,60
39,PA,520,4,264,320,340,316
40,PR,67,0,40,71,51,48
41,RI,45,0,29,40,31,31
42,SC,99,0,82,82,82,81
43,SD,47,0,36,35,42,25
44,TN,241,7,177,192,192,169
45,TX,307,0,215,271,242,209
46,UT,145,2,86,101,101,89
47,VA,222,5,151,166,143,119
48,VT,59,0,46,42,40,42
49,WA,327,0,239,286,214,132
50,WI,387,1,200,231,174,189
51,WV,111,0,57,42,80,53
52,WY,46,0,16,27,41,34
53,ZZ,5,0,1,4,1,4
