DEPARTMENT,AGE RANGE,Female Avg Hrly Rate,No. Female Empl,Male Avg Hrly Rate,No. Male Empl,Total Avg Hrly Rate,Total No. Empl,Female to male % rate,Female to male % count,Notes
Arts and Cultural Affairs,26 - 30,,,29.04,1,29.04,1,,,no women in age range
Arts and Cultural Affairs,31 - 35,32.47,3,32.25,2,32.38,5,100.7,150,
Arts and Cultural Affairs,36 - 40,30.44,2,51.95,1,37.61,3,58.59,200,
Arts and Cultural Affairs,41 - 45,30.28,4,24.99,2,28.51,6,121.15,200,
Arts and Cultural Affairs,46 - 50,33.81,2,28.77,2,31.29,4,117.54,100,
Arts and Cultural Affairs,51 - 55,40.49,2,,,40.49,2,,,no men in age range
Arts and Cultural Affairs,56 - 60,37.84,3,,,37.84,3,,,no men in age range
Arts and Cultural Affairs,61 - 65,37.23,3,,,37.23,3,,,no men in age range
Arts and Cultural Affairs,66 - 70,52.61,1,,,52.61,1,,,no men in age range
Arts and Cultural Affairs Total,,35.29,20,31.62,8,34.24,28,111.6,250,
City Auditor,26 - 30,30.55,1,,,30.55,1,,,no men in age range
City Auditor,41 - 45,51.17,1,,,51.17,1,,,no men in age range
City Auditor,46 - 50,51.13,1,,,51.13,1,,,no men in age range
City Auditor,51 - 55,50.6,2,,,50.6,2,,,no men in age range
City Auditor,56 - 60,51.81,1,56.39,2,54.86,3,91.88,50,
City Auditor,61 - 65,55.75,2,,,55.75,2,,,no men in age range
City Auditor Total,,49.67,8,56.39,2,51.01,10,88.08,400,
City Budget Office,26 - 30,,,41.67,1,41.67,1,,,no women in age range
City Budget Office,31 - 35,42.66,5,49.55,3,45.24,8,86.11,166.67,
City Budget Office,36 - 40,52.83,2,42.05,1,49.24,3,125.64,200,
City Budget Office,41 - 45,48.71,4,51.25,1,49.21,5,95.04,400,
City Budget Office,46 - 50,40.21,2,45.33,1,41.91,3,88.7,200,
City Budget Office,51 - 55,45.97,3,47.04,2,46.4,5,97.73,150,
City Budget Office,56 - 60,51.22,1,56.51,1,53.86,2,90.63,100,
City Budget Office Total,,46.08,17,47.95,10,46.77,27,96.09,170,
City Employees Retirement Syst,26 - 30,,,40.29,1,40.29,1,,,no women in age range
City Employees Retirement Syst,31 - 35,30.92,1,,,30.92,1,,,no men in age range
City Employees Retirement Syst,36 - 40,23.38,1,22.56,1,22.97,2,103.63,100,
City Employees Retirement Syst,41 - 45,34.03,2,25.28,1,31.11,3,134.61,200,
City Employees Retirement Syst,46 - 50,23.44,2,52.19,1,33.02,3,44.9,200,
City Employees Retirement Syst,51 - 55,55.3,3,,,55.3,3,,,no men in age range
City Employees Retirement Syst,56 - 60,23.47,3,,,23.47,3,,,no men in age range
City Employees Retirement Syst Total,,33.79,12,35.08,4,34.12,16,96.33,300,
City Light,20 - 25,,,29.4,17,29.4,17,,,no women in age range
City Light,26 - 30,34.52,10,34.49,53,34.49,63,100.1,18.87,
City Light,31 - 35,33.35,39,38.5,99,37.04,138,86.63,39.39,
City Light,36 - 40,36.81,35,40.04,116,39.29,151,91.92,30.17,
City Light,41 - 45,37.15,59,40.59,127,39.5,186,91.52,46.46,
City Light,46 - 50,38.4,83,41.82,156,40.64,239,91.82,53.21,
City Light,51 - 55,37.68,108,42.7,223,41.06,331,88.25,48.43,
City Light,56 - 60,35.65,94,42.93,223,40.77,317,83.04,42.15,
City Light,61 - 65,36.43,73,42.08,125,40,198,86.56,58.4,
City Light,66 - 70,32.24,18,42.7,27,38.51,45,75.51,66.67,
City Light,over 70,37.2,3,40.05,8,39.27,11,92.88,37.5,
City Light Total,,36.56,522,41.13,1174,39.73,1696,88.88,44.46,
Civil Service Commissions,36 - 40,5.53,1,,,5.53,1,,,no men in age range
Civil Service Commissions,41 - 45,,,5.53,2,5.53,2,,,no women in age range
Civil Service Commissions,46 - 50,41.71,2,5.53,1,29.65,3,754.16,200,
Civil Service Commissions,51 - 55,,,5.53,1,5.53,1,,,no women in age range
Civil Service Commissions,66 - 70,,,5.53,1,5.53,1,,,no women in age range
Civil Service Commissions Total,,29.65,3,5.53,5,14.57,8,536.11,60,
Department of Planning & Dev,26 - 30,33.88,4,,,33.88,4,,,no men in age range
Department of Planning & Dev,31 - 35,33.32,16,41.63,10,36.52,26,80.03,160,
Department of Planning & Dev,36 - 40,37.61,23,42.13,8,38.77,31,89.26,287.5,
Department of Planning & Dev,41 - 45,38.54,21,40.17,10,39.07,31,95.95,210,
Department of Planning & Dev,46 - 50,40.65,20,41.68,28,41.25,48,97.53,71.43,
Department of Planning & Dev,51 - 55,37.9,23,40.2,32,39.24,55,94.3,71.88,
Department of Planning & Dev,56 - 60,40.23,30,43.41,46,42.16,76,92.66,65.22,
Department of Planning & Dev,61 - 65,31.7,9,44.17,32,41.43,41,71.78,28.13,
Department of Planning & Dev,66 - 70,45.16,3,44.98,10,45.02,13,100.4,30,
Department of Planning & Dev,over 70,,,42.79,3,42.79,3,,,no women in age range
Department of Planning & Dev Total,,37.96,149,42.44,179,40.4,328,89.43,83.24,
Dept of Finance & Admn Svc,20 - 25,22,1,22.77,1,22.38,2,96.62,100,
Dept of Finance & Admn Svc,26 - 30,31.85,11,26.83,13,29.13,24,118.7,84.62,
Dept of Finance & Admn Svc,31 - 35,31.17,13,33.55,26,32.76,39,92.91,50,
Dept of Finance & Admn Svc,36 - 40,32.74,37,32.07,25,32.47,62,102.09,148,
Dept of Finance & Admn Svc,41 - 45,34.2,28,37.93,33,36.22,61,90.15,84.85,
Dept of Finance & Admn Svc,46 - 50,35.08,33,36.07,45,35.65,78,97.26,73.33,
Dept of Finance & Admn Svc,51 - 55,38.45,44,34.86,52,36.51,96,110.3,84.62,
Dept of Finance & Admn Svc,56 - 60,37.34,40,35.76,44,36.51,84,104.42,90.91,
Dept of Finance & Admn Svc,61 - 65,33.25,18,39.05,33,37,51,85.14,54.55,
Dept of Finance & Admn Svc,66 - 70,36.69,5,28.08,3,33.46,8,130.68,166.67,
Dept of Finance & Admn Svc,over 70,,,31.02,1,31.02,1,,,no women in age range
Dept of Finance & Admn Svc,under 20,,,13.43,1,13.43,1,,,no women in age range
Dept of Finance & Admn Svc Total,,35.09,230,35.11,277,35.1,507,99.97,83.03,
Ethics And Elections,36 - 40,,,24.35,1,24.35,1,,,no women in age range
Ethics And Elections,41 - 45,,,67.42,1,67.42,1,,,no women in age range
Ethics And Elections,46 - 50,39.98,1,48.35,1,44.16,2,82.69,100,
Ethics And Elections,51 - 55,46.27,1,,,46.27,1,,,no men in age range
Ethics And Elections,61 - 65,48.37,1,48.37,1,48.37,2,100,100,
Ethics And Elections Total,,44.87,3,47.12,4,46.16,7,95.23,75,
Fire Department,20 - 25,,,29.64,2,29.64,2,,,no women in age range
Fire Department,26 - 30,28.83,1,31.44,44,31.39,45,91.69,2.27,
Fire Department,31 - 35,29.75,7,34.56,62,34.07,69,86.08,11.29,
Fire Department,36 - 40,31.96,11,37.21,161,36.87,172,85.9,6.83,
Fire Department,41 - 45,37.27,20,38.85,203,38.71,223,95.92,9.85,
Fire Department,46 - 50,39.62,36,40.94,194,40.73,230,96.77,18.56,
Fire Department,51 - 55,41.21,38,43.39,124,42.88,162,94.99,30.65,
Fire Department,56 - 60,36.28,18,46.11,93,44.52,111,78.68,19.35,
Fire Department,61 - 65,32.57,3,47.58,48,46.7,51,68.45,6.25,
Fire Department,66 - 70,,,46.33,6,46.33,6,,,no women in age range
Fire Department,over 70,26.79,1,,,26.79,1,,,no men in age range
Fire Department Total,,37.81,135,40.17,937,39.87,1072,94.13,14.41,
Hearing Examiner,36 - 40,23.66,2,,,23.66,2,,,no men in age range
Hearing Examiner,46 - 50,36.3,1,,,36.3,1,,,no men in age range
Hearing Examiner,56 - 60,59.89,1,,,59.89,1,,,no men in age range
Hearing Examiner,61 - 65,72.07,1,,,72.07,1,,,no men in age range
Hearing Examiner Total,,43.11,5,,,43.11,5,,,no men in age range
Housing,26 - 30,38.48,1,,,38.48,1,,,no men in age range
Housing,31 - 35,40.59,2,,,40.59,2,,,no men in age range
Housing,36 - 40,39.62,3,39.22,2,39.46,5,101,150,
Housing,41 - 45,32.55,3,33.12,3,32.83,6,98.28,100,
Housing,46 - 50,45.48,3,43.1,1,44.88,4,105.52,300,
Housing,51 - 55,35.15,2,44.52,2,39.84,4,78.96,100,
Housing,56 - 60,33.51,3,37.57,4,35.83,7,89.21,75,
Housing,61 - 65,29.43,2,41.27,5,37.88,7,71.32,40,
Housing,66 - 70,24.35,1,,,24.35,1,,,no men in age range
Housing Total,,36.33,20,39.21,17,37.65,37,92.67,117.65,
Human Services,20 - 25,22,3,,,22,3,,,no men in age range
Human Services,26 - 30,26.28,12,30.96,2,26.94,14,84.86,600,
Human Services,31 - 35,29.12,24,27.22,2,28.97,26,106.98,1200,
Human Services,36 - 40,32.3,38,31.18,14,32,52,103.58,271.43,
Human Services,41 - 45,32.89,31,34.45,12,33.33,43,95.48,258.33,
Human Services,46 - 50,30.25,36,36.72,7,31.3,43,82.39,514.29,
Human Services,51 - 55,34.24,37,36.81,8,34.69,45,93,462.5,
Human Services,56 - 60,32.38,34,31.36,11,32.13,45,103.26,309.09,
Human Services,61 - 65,31.71,25,34.98,8,32.5,33,90.66,312.5,
Human Services,66 - 70,30.51,9,33.69,1,30.83,10,90.57,900,
Human Services Total,,31.53,249,33.48,65,31.94,314,94.17,383.08,
Immigrant & Refugee Affairs,26 - 30,34.94,1,,,34.94,1,,,no men in age range
Immigrant & Refugee Affairs,36 - 40,,,27.25,1,27.25,1,,,no women in age range
Immigrant & Refugee Affairs,66 - 70,,,47.49,1,47.49,1,,,no women in age range
Immigrant & Refugee Affairs Total,,34.94,1,37.37,2,36.56,3,93.48,50,
Information Technology Dept,20 - 25,,,37.15,2,37.15,2,,,no women in age range
Information Technology Dept,26 - 30,37.96,3,,,37.96,3,,,no men in age range
Information Technology Dept,31 - 35,37.23,2,42.7,11,41.86,13,87.2,18.18,
Information Technology Dept,36 - 40,43.31,4,42.7,15,42.83,19,101.44,26.67,
Information Technology Dept,41 - 45,37.47,9,43.78,21,41.89,30,85.58,42.86,
Information Technology Dept,46 - 50,41.75,17,47.64,16,44.6,33,87.64,106.25,
Information Technology Dept,51 - 55,43.21,11,48.04,20,46.33,31,89.93,55,
Information Technology Dept,56 - 60,48.75,14,44.08,18,46.12,32,110.59,77.78,
Information Technology Dept,61 - 65,48.86,6,45.01,12,46.29,18,108.55,50,
Information Technology Dept,66 - 70,,,51.95,6,51.95,6,,,no women in age range
Information Technology Dept Total,,43.32,66,45.22,121,44.55,187,95.8,54.55,
Intergovernmental Relations,26 - 30,39.58,1,,,39.58,1,,,no men in age range
Intergovernmental Relations,31 - 35,52.68,1,,,52.68,1,,,no men in age range
Intergovernmental Relations,36 - 40,38.31,1,62.95,1,50.63,2,60.86,100,
Intergovernmental Relations,41 - 45,50.47,1,40.19,4,42.25,5,125.57,25,
Intergovernmental Relations,61 - 65,,,54.24,1,54.24,1,,,no women in age range
Intergovernmental Relations Total,,45.26,4,46.33,6,45.9,10,97.7,66.67,
Law Department,20 - 25,20.96,1,,,20.96,1,,,no men in age range
Law Department,26 - 30,27.31,10,31.41,1,27.68,11,86.95,1000,
Law Department,31 - 35,32.8,9,37.71,5,34.55,14,86.97,180,
Law Department,36 - 40,38.27,16,41.46,5,39.03,21,92.3,320,
Law Department,41 - 45,40.32,21,44.35,9,41.53,30,90.92,233.33,
Law Department,46 - 50,34.54,13,41.01,2,35.4,15,84.22,650,
Law Department,51 - 55,36.5,16,49.56,13,42.35,29,73.64,123.08,
Law Department,56 - 60,39.66,12,52.04,9,44.97,21,76.21,133.33,
Law Department,61 - 65,41.12,10,59.29,3,45.31,13,69.35,333.33,
Law Department,66 - 70,24.35,1,52.39,3,45.38,4,46.48,33.33,
Law Department,over 70,,,59.47,1,59.47,1,,,no women in age range
Law Department Total,,36.63,109,47.37,51,40.05,160,77.34,213.73,
Legislative-City Council,20 - 25,26.9,1,,,26.9,1,,,no men in age range
Legislative-City Council,26 - 30,34.49,1,32.37,4,32.79,5,106.56,25,
Legislative-City Council,31 - 35,34.91,5,33.57,5,34.24,10,103.99,100,
Legislative-City Council,36 - 40,34.82,6,34.12,1,34.72,7,102.04,600,
Legislative-City Council,41 - 45,33.6,10,51.81,5,39.67,15,64.86,200,
Legislative-City Council,46 - 50,31.4,6,38.6,6,35,12,81.35,100,
Legislative-City Council,51 - 55,42.36,5,42.09,5,42.22,10,100.63,100,
Legislative-City Council,56 - 60,44.56,8,43.98,3,44.41,11,101.32,266.67,
Legislative-City Council,61 - 65,34.53,3,46.11,8,42.95,11,74.9,37.5,
Legislative-City Council,66 - 70,,,31.29,2,31.29,2,,,no women in age range
Legislative-City Council,over 70,57.46,1,5.11,1,31.29,2,1124.46,100,
Legislative-City Council Total,,36.93,46,40.03,40,38.37,86,92.26,115,
Mayor's Office,20 - 25,22.73,2,22.74,2,22.73,4,99.93,100,
Mayor's Office,26 - 30,32.62,5,34.12,1,32.87,6,95.61,500,
Mayor's Office,31 - 35,34.4,3,28.6,3,31.5,6,120.28,100,
