ID Race,Race,ID Year,Year,Household Income by Race,Household Income by Race Moe,Geography,ID Geography,Slug Geography
4,"Asian",2018,"2018",41140,22033,"Whatcom County, WA","05000US53073","whatcom-county-wa"
9,"Hispanic",2018,"2018",47914,5381,"Yakima County, WA","05000US53077","yakima-county-wa"
9,"Hispanic",2018,"2018",33280,5815,"Whatcom County, WA","05000US53073","whatcom-county-wa"
9,"Hispanic",2018,"2018",51937,14995,"Thurston County, WA","05000US53067","thurston-county-wa"
9,"Hispanic",2018,"2018",48801,13437,"Spokane County, WA","05000US53063","spokane-county-wa"
0,"Total",2018,"2018",68115,6558,"Benton County, WA","05000US53005","benton-county-wa"
9,"Hispanic",2018,"2018",81239,13506.999999999998,"Snohomish County, WA","05000US53061","snohomish-county-wa"
9,"Hispanic",2018,"2018",70801,19700,"Skagit County, WA","05000US53057","skagit-county-wa"
9,"Hispanic",2018,"2018",61418,6745.999999999999,"Pierce County, WA","05000US53053","pierce-county-wa"
9,"Hispanic",2018,"2018",30123,6392,"Mason County, WA","05000US53045","mason-county-wa"
9,"Hispanic",2018,"2018",64500,39038,"Lewis County, WA","05000US53041","lewis-county-wa"
0,"Total",2018,"2018",57132,5313,"Chelan County, WA","05000US53007","chelan-county-wa"
9,"Hispanic",2018,"2018",70842,16325,"Kitsap County, WA","05000US53035","kitsap-county-wa"
9,"Hispanic",2018,"2018",66853,3830.0000000000005,"King County, WA","05000US53033","king-county-wa"
9,"Hispanic",2018,"2018",55169,10538,"Island County, WA","05000US53029","island-county-wa"
9,"Hispanic",2018,"2018",40153,34410,"Grays Harbor County, WA","05000US53027","grays-harbor-county-wa"
9,"Hispanic",2018,"2018",45690,6522,"Grant County, WA","05000US53025","grant-county-wa"
0,"Total",2018,"2018",59001,5412,"Clallam County, WA","05000US53009","clallam-county-wa"
9,"Hispanic",2018,"2018",49152,10382,"Franklin County, WA","05000US53021","franklin-county-wa"
9,"Hispanic",2018,"2018",36285,11766,"Cowlitz County, WA","05000US53015","cowlitz-county-wa"
9,"Hispanic",2018,"2018",57602,9608,"Clark County, WA","05000US53011","clark-county-wa"
9,"Hispanic",2018,"2018",34198,23105,"Clallam County, WA","05000US53009","clallam-county-wa"
9,"Hispanic",2018,"2018",49451,8569,"Chelan County, WA","05000US53007","chelan-county-wa"
0,"Total",2018,"2018",74060,2478,"Clark County, WA","05000US53011","clark-county-wa"
9,"Hispanic",2018,"2018",50108,9809,"Benton County, WA","05000US53005","benton-county-wa"
8,"White Non-Hispanic",2018,"2018",54866,5116,"Yakima County, WA","05000US53077","yakima-county-wa"
8,"White Non-Hispanic",2018,"2018",65563,2692,"Whatcom County, WA","05000US53073","whatcom-county-wa"
