ID Wage Bin,Wage Bin,ID Year,Year,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Record Count,Geography,ID Geography,Slug Geography,share
11,"$100-110k",2018,"2018","true","true",3994488,48408.844657193484,40446,"United States","01000US","united-states",0.02671776283877976
21,"$200k+",2018,"2018","true","true",117474,8274.358343573804,1233,"Washington","04000US53","washington",0.03310931451368563
20,"$190-200k",2018,"2018","true","true",8922,2316.109776450305,84,"Washington","04000US53","washington",0.002514610076196462
2,"$10-20k",2018,"2018","true","true",18713295,99337.3368332928,168669,"United States","01000US","united-states",0.12516682431944295
19,"$180-190k",2018,"2018","true","true",16355,3132.541019844303,161,"Washington","04000US53","washington",0.004609554785495756
3,"$20-30k",2018,"2018","true","true",21312636,104953.51876165823,187613,"United States","01000US","united-states",0.1425529264619745
18,"$170-180k",2018,"2018","true","true",18698,3348.3046268004996,189,"Washington","04000US53","washington",0.005269914728168734
4,"$30-40k",2018,"2018","true","true",19603466,101325.99394556804,179445,"United States","01000US","united-states",0.1311208734150866
17,"$160-170k",2018,"2018","true","true",21113,3556.753138144735,218,"Washington","04000US53","washington",0.005950567421960985
5,"$40-50k",2018,"2018","true","true",15748234,92155.44960025905,150012,"United States","01000US","united-states",0.10533454629018986
16,"$150-160k",2018,"2018","true","true",39836,4872.600482594916,412,"Washington","04000US53","washington",0.011227528244268354
6,"$50-60k",2018,"2018","true","true",12681069,83638.4760074251,124083,"United States","01000US","united-states",0.0848193295571803
15,"$140-150k",2018,"2018","true","true",37170,4708.517361321891,367,"Washington","04000US53","washington",0.010476132765324197
7,"$60-70k",2018,"2018","true","true",10007615,75023.17134239608,98530,"United States","01000US","united-states",0.06693751092801252
14,"$130-140k",2018,"2018","true","true",44087,5122.888858642295,446,"Washington","04000US53","washington",0.012425646091602042
8,"$70-80k",2018,"2018","true","true",7130293,63976.00881845912,70363,"United States","01000US","united-states",0.047692089034943014
13,"$120-130k",2018,"2018","true","true",78875,6818.089596228649,791,"Washington","04000US53","washington",0.02223042700739699
9,"$80-90k",2018,"2018","true","true",5523100,56622.93870221614,55135,"United States","01000US","united-states",0.03694212523228621
12,"$110-120k",2018,"2018","true","true",69127,6391.84410654945,666,"Washington","04000US53","washington",0.01948301398085999
10,"$90-100k",2018,"2018","true","true",4013620,48521.4455568481,40377,"United States","01000US","united-states",0.026845730237513098
11,"$100-110k",2018,"2018","true","true",118237,8300.262867818024,1257,"Washington","04000US53","washington",0.0333243613067968
1,"< $10K",2018,"2018","true","true",16884340,95015.59123839223,165660,"United States","01000US","united-states",0.1129335704123589
10,"$90-100k",2018,"2018","true","true",116111,8227.850400518339,1156,"Washington","04000US53","washington",0.03272516146124719
12,"$110-120k",2018,"2018","true","true",2001566,34501.10137260808,20405,"United States","01000US","united-states",0.013387789797882745
9,"$80-90k",2018,"2018","true","true",164765,9731.543104684906,1662,"Washington","04000US53","washington",0.04643798803009528
13,"$120-130k",2018,"2018","true","true",2350727,37345.173284481374,24053,"United States","01000US","united-states",0.015723208202081524
8,"$70-80k",2018,"2018","true","true",188946,10383.90056631907,1867,"Washington","04000US53","washington",0.05325325212474969
14,"$130-140k",2018,"2018","true","true",1346310,28358.484926506873,13878,"United States","01000US","united-states",0.009005006721131113
7,"$60-70k",2018,"2018","true","true",251309,11863.870529035641,2509,"Washington","04000US53","washington",0.07082987487546029
15,"$140-150k",2018,"2018","true","true",989183,24337.255081417818,10216,"United States","01000US","united-states",0.006616306469853628
6,"$50-60k",2018,"2018","true","true",298137,12829.915121769738,2919,"Washington","04000US53","washington",0.0840280547284224
16,"$150-160k",2018,"2018","true","true",1319827,28080.69184874056,13574,"United States","01000US","united-states",0.008827870999792257
5,"$40-50k",2018,"2018","true","true",351604,13817.853487323815,3357,"Washington","04000US53","washington",0.09909739534084071
17,"$160-170k",2018,"2018","true","true",673201,20098.662331264106,7044,"United States","01000US","united-states",0.004502811038818835
4,"$30-40k",2018,"2018","true","true",452500,15426.174171628682,4088,"Washington","04000US53","washington",0.12753430390931395
18,"$170-180k",2018,"2018","true","true",550836,18187.97681653981,5736,"United States","01000US","united-states",0.003684353441808334
3,"$20-30k",2018,"2018","true","true",451234,15407.729158639822,4021,"Washington","04000US53","washington",0.1271774897021334
19,"$180-190k",2018,"2018","true","true",502850,17380.505509770475,5315,"United States","01000US","united-states",0.003363391514376912
2,"$10-20k",2018,"2018","true","true",366639,14076.971060035892,3383,"Washington","04000US53","washington",0.10333491635581649
20,"$190-200k",2018,"2018","true","true",258574,12473.585303754426,2729,"United States","01000US","united-states",0.0017295129709426183
1,"< $10K",2018,"2018","true","true",336926,13557.380670212204,3392,"Washington","04000US53","washington",0.09496049255016467
21,"$200k+",2018,"2018","true","true",3901599,47857.9450233883,41982,"United States","01000US","united-states",0.026096460115544288
11,"$100-110k",2017,"2017","true","true",3805887,47275.33868504415,38504,"United States","01000US","united-states",0.025764634255960733
16,"$150-160k",2017,"2017","true","true",37697,4740.844752412827,383,"Washington","04000US53","washington",0.010865930837602226
6,"$50-60k",2017,"2017","true","true",12473792,82969.13568236122,121810,"United States","01000US","united-states",0.08444357088503388
