ID Gender,Gender,ID Year,Year,ID Employment Time Status,Employment Time Status,ID Detailed Occupation,Detailed Occupation,Average Wage,Average Wage Appx MOE,Total Population,Total Population MOE Appx,Record Count,Geography,ID Geography,Slug Geography
1,"Male",2018,"2018",1,"Full-time","434051","Customer service representatives",53368.95856958122,6528.974886739758,20106,3468.9044997100596,175,"Washington","04000US53","washington"
2,"Female",2018,"2018",1,"Full-time","434051","Customer service representatives",45303.12042024071,6826.021327959956,30078,4235.293206324263,275,"Washington","04000US53","washington"
2,"Female",2018,"2018",1,"Full-time","252020","Elementary & middle school teachers",57235.92117704597,2478.9862212455755,49072,5391.389134854871,542,"Washington","04000US53","washington"
2,"Female",2018,"2018",1,"Full-time","151252","Software developers",115816.20738695202,10037.93399875577,14485,2947.2831889804165,124,"Washington","04000US53","washington"
2,"Female",2018,"2018",1,"Full-time","1191XX","Other managers",96219.0600997727,10168.681187666909,33877,4491.767003179493,353,"Washington","04000US53","washington"
1,"Male",2018,"2018",1,"Full-time","533030","Driver/sales workers & truck drivers",49502.95864101108,3309.537205451032,56336,5769.125301676699,534,"Washington","04000US53","washington"
1,"Male",2018,"2018",1,"Full-time","252020","Elementary & middle school teachers",64491.99734343206,4468.485076847123,17692,3255.3979130083244,184,"Washington","04000US53","washington"
1,"Male",2018,"2018",1,"Full-time","151252","Software developers",156794.12763290553,9472.166698887377,73398,6564.805037304059,661,"Washington","04000US53","washington"
1,"Male",2018,"2018",1,"Full-time","1191XX","Other managers",126863.31871169331,9844.005531389908,66568,6259.631536963376,666,"Washington","04000US53","washington"
2,"Female",2018,"2018",1,"Full-time","533030","Driver/sales workers & truck drivers",40929.67962417097,10061.125508615334,5428,1807.0850359090846,44,"Washington","04000US53","washington"
1,"Male",2017,"2017",1,"Full-time","434051","Customer service representatives",48547.151638903815,6932.909344237164,18610,3337.9894917219676,157,"Washington","04000US53","washington"
1,"Male",2017,"2017",1,"Full-time","252020","Elementary & middle school teachers",57594.75182872435,4084.6457713609266,16815,3173.9622292391414,198,"Washington","04000US53","washington"
2,"Female",2017,"2017",1,"Full-time","434051","Customer service representatives",36620.01822554583,3090.9708901433746,26611,3985.7527498003446,233,"Washington","04000US53","washington"
2,"Female",2017,"2017",1,"Full-time","533030","Driver/sales workers & truck drivers",31839.37901234568,7041.213501299833,3240,1396.6682692992972,34,"Washington","04000US53","washington"
2,"Female",2017,"2017",1,"Full-time","252020","Elementary & middle school teachers",55314.37864165853,2496.6925257096104,44039,5111.111948754762,488,"Washington","04000US53","washington"
1,"Male",2017,"2017",1,"Full-time","533030","Driver/sales workers & truck drivers",51432.04055028854,3431.7047614752732,58224,5861.589836771868,556,"Washington","04000US53","washington"
1,"Male",2016,"2016",1,"Full-time","533030","Driver/sales workers & truck drivers",47561.571292371074,2572.4843604275384,58737,5884.165508453455,495,"Washington","04000US53","washington"
2,"Female",2016,"2016",1,"Full-time","252020","Elementary & middle school teachers",54940.55713860418,3403.4105816930382,47026,5276.826772341952,521,"Washington","04000US53","washington"
1,"Male",2016,"2016",1,"Full-time","252020","Elementary & middle school teachers",58185.716449582906,4381.125987196427,13666,2862.7119196384006,152,"Washington","04000US53","washington"
2,"Female",2016,"2016",1,"Full-time","533030","Driver/sales workers & truck drivers",63489.296790757384,47142.30529416695,3895,1531.1244129084744,31,"Washington","04000US53","washington"
2,"Female",2016,"2016",1,"Full-time","434051","Customer service representatives",38905.122148084374,5766.133511738542,27876,4077.5914860997354,262,"Washington","04000US53","washington"
1,"Male",2016,"2016",1,"Full-time","434051","Customer service representatives",58843.787699433866,12020.843968273872,15544,3051.9981695999763,128,"Washington","04000US53","washington"
2,"Female",2015,"2015",1,"Full-time","434051","Customer service representatives",38022.88343040771,5215.187688492691,24895,3854.940392626092,226,"Washington","04000US53","washington"
1,"Male",2015,"2015",1,"Full-time","252020","Elementary & middle school teachers",58141.27757611675,6680.854613168857,13499,2845.000044407156,159,"Washington","04000US53","washington"
2,"Female",2015,"2015",1,"Full-time","252020","Elementary & middle school teachers",51497.539189784235,2506.828763347517,45420,5185.93832238334,502,"Washington","04000US53","washington"
1,"Male",2015,"2015",1,"Full-time","434051","Customer service representatives",42733.44916292364,6025.419070038281,17143,3203.798790724241,143,"Washington","04000US53","washington"
1,"Male",2015,"2015",1,"Full-time","533030","Driver/sales workers & truck drivers",44730.87690275145,2877.9207627601977,52227,5553.479782906794,487,"Washington","04000US53","washington"
2,"Female",2015,"2015",1,"Full-time","533030","Driver/sales workers & truck drivers",39154.2739039666,8674.69245107527,2395,1200.9505210861746,28,"Washington","04000US53","washington"
2,"Female",2014,"2014",1,"Full-time","533030","Driver/sales workers & truck drivers",35305.76980697206,8641.421749859017,3471,1445.4425138642937,30,"Washington","04000US53","washington"
2,"Female",2014,"2014",1,"Full-time","434051","Customer service representatives",33721.624989047574,3662.4034181524976,22826,3692.3336284455627,217,"Washington","04000US53","washington"
1,"Male",2014,"2014",1,"Full-time","252020","Elementary & middle school teachers",60268.433333333334,3628.6131367634616,14820,2979.9551961776424,163,"Washington","04000US53","washington"
1,"Male",2014,"2014",1,"Full-time","434051","Customer service representatives",48449.7790854826,7198.835310531765,17758,3260.0644308713786,144,"Washington","04000US53","washington"
1,"Male",2014,"2014",1,"Full-time","533030","Driver/sales workers & truck drivers",44666.23305401902,2461.0839016962905,54777,5682.905706179363,504,"Washington","04000US53","washington"
2,"Female",2014,"2014",1,"Full-time","252020","Elementary & middle school teachers",49846.15561403966,2329.5474964238883,38377,4772.61215209052,440,"Washington","04000US53","washington"
