ID Race,Race,ID Year,Year,ID Workforce Status,Workforce Status,ID Detailed Occupation,Detailed Occupation,Average Wage,Average Wage Appx MOE,Total Population,Total Population MOE Appx,Record Count,Geography,ID Geography,Slug Geography
3,"American Indian",2018,"2018","true","true","252020","Elementary & middle school teachers",46151.28878281623,7922.331141535453,419,502.5232098376698,6,"Washington","04000US53","washington"
9,"Two or More Races",2018,"2018","true","true","434051","Customer service representatives",39564.3304365001,8896.616146802085,5063,1745.696082662908,39,"Washington","04000US53","washington"
8,"Other",2018,"2018","true","true","533030","Driver/sales workers & truck drivers",39596.44992599901,7584.112470322161,2027,1105.038837437163,16,"Washington","04000US53","washington"
8,"Other",2018,"2018","true","true","252020","Elementary & middle school teachers",42191.16391184573,27554.375272902817,726,661.4524540775104,9,"Washington","04000US53","washington"
8,"Other",2018,"2018","true","true","151252","Software developers",201578.61728395062,132316.11285125805,1134,826.6313506400127,9,"Washington","04000US53","washington"
8,"Other",2018,"2018","true","true","1191XX","Other managers",68379.70535714286,26296.27897476406,1120,821.5144623349478,10,"Washington","04000US53","washington"
7,"Native Hawaiian and Other Pacific Islander",2018,"2018","true","true","434051","Customer service representatives",28037.38629737609,2359.449823736573,686,642.9760970863309,5,"Washington","04000US53","washington"
7,"Native Hawaiian and Other Pacific Islander",2018,"2018","true","true","1191XX","Other managers",42722.33141210375,19018.49529181883,694,646.7136324768335,10,"Washington","04000US53","washington"
1,"White",2018,"2018","true","true","1191XX","Other managers",106790.99031843626,7972.274288610692,87176,7159.31183376452,908,"Washington","04000US53","washington"
1,"White",2018,"2018","true","true","151252","Software developers",153243.39971835795,12133.570276275968,46868,5279.897108955643,451,"Washington","04000US53","washington"
1,"White",2018,"2018","true","true","252020","Elementary & middle school teachers",54763.99229060499,2436.543006047228,68877,6380.504725879723,783,"Washington","04000US53","washington"
1,"White",2018,"2018","true","true","533030","Driver/sales workers & truck drivers",45830.99735711926,3475.627161583289,60540,5989.062537323891,583,"Washington","04000US53","washington"
1,"White",2018,"2018","true","true","434051","Customer service representatives",40247.51122219149,4993.029388691566,50614,5483.907549484048,478,"Washington","04000US53","washington"
9,"Two or More Races",2018,"2018","true","true","252020","Elementary & middle school teachers",45378.61527631116,7826.749812545025,2841,1308.0864052277088,22,"Washington","04000US53","washington"
9,"Two or More Races",2018,"2018","true","true","151252","Software developers",122101.59016878887,39409.79897047948,3377,1426.045927629359,33,"Washington","04000US53","washington"
9,"Two or More Races",2018,"2018","true","true","1191XX","Other managers",104763.6934065934,32962.0402468622,3640,1480.48005959017,36,"Washington","04000US53","washington"
6,"Asian",2018,"2018","true","true","434051","Customer service representatives",37227.02747724541,8812.686199042904,5823,1871.9381015610682,51,"Washington","04000US53","washington"
6,"Asian",2018,"2018","true","true","533030","Driver/sales workers & truck drivers",43909.57859413635,21292.36758360876,2831,1305.7840590219862,24,"Washington","04000US53","washington"
6,"Asian",2018,"2018","true","true","252020","Elementary & middle school teachers",39626.07674571805,12569.565640873943,3036,1352.1963355528687,33,"Washington","04000US53","washington"
6,"Asian",2018,"2018","true","true","151252","Software developers",143345.82895930088,10795.908376004214,36389,4659.306230375937,298,"Washington","04000US53","washington"
6,"Asian",2018,"2018","true","true","1191XX","Other managers",155855.0042738555,24814.28338571586,12167,2703.4640148627595,108,"Washington","04000US53","washington"
3,"American Indian",2018,"2018","true","true","434051","Customer service representatives",31854.726546906186,7491.910401408985,501,549.494003472852,10,"Washington","04000US53","washington"
2,"Black",2018,"2018","true","true","1191XX","Other managers",72721.16117455138,22624.92603447436,3065,1358.6335477572384,19,"Washington","04000US53","washington"
2,"Black",2018,"2018","true","true","151252","Software developers",149414.89681335355,45099.7275495066,1318,891.1519978773196,9,"Washington","04000US53","washington"
2,"Black",2018,"2018","true","true","252020","Elementary & middle school teachers",60520.54038082731,19498.55441401768,1523,957.9249395839356,11,"Washington","04000US53","washington"
2,"Black",2018,"2018","true","true","533030","Driver/sales workers & truck drivers",37729.17873892652,6944.621734092033,3838,1520.1702357177442,27,"Washington","04000US53","washington"
2,"Black",2018,"2018","true","true","434051","Customer service representatives",28299.082070949185,8404.25393937361,5215,1771.6687054391577,39,"Washington","04000US53","washington"
3,"American Indian",2018,"2018","true","true","533030","Driver/sales workers & truck drivers",41767.40217391304,15480.907420817897,736,665.9913933057155,10,"Washington","04000US53","washington"
9,"Two or More Races",2018,"2018","true","true","533030","Driver/sales workers & truck drivers",26931.53105263158,15946.63274597601,1900,1069.88043334671,13,"Washington","04000US53","washington"
3,"American Indian",2018,"2018","true","true","1191XX","Other managers",143133.4360753221,52275.21469397498,1009,779.7557402911774,17,"Washington","04000US53","washington"
8,"Other",2018,"2018","true","true","434051","Customer service representatives",31105.409504950494,6221.712667611529,2525,1233.2492522883774,18,"Washington","04000US53","washington"
3,"American Indian",2017,"2017","true","true","533030","Driver/sales workers & truck drivers",27870.96231155779,16652.98972050358,398,489.76910031926,8,"Washington","04000US53","washington"
1,"White",2017,"2017","true","true","252020","Elementary & middle school teachers",49224.159814593935,2413.553425684758,66233,6257.866214924711,768,"Washington","04000US53","washington"
9,"Two or More Races",2017,"2017","true","true","434051","Customer service representatives",31987.932137663596,8589.192569539005,4126,1576.0898230697107,25,"Washington","04000US53","washington"
2,"Black",2017,"2017","true","true","434051","Customer service representatives",28253.098897637796,6828.690257269456,3175,1382.7631741491489,24,"Washington","04000US53","washington"
9,"Two or More Races",2017,"2017","true","true","533030","Driver/sales workers & truck drivers",42861.63758146271,12679.770030340447,2762,1289.7740938735496,25,"Washington","04000US53","washington"
9,"Two or More Races",2017,"2017","true","true","252020","Elementary & middle school teachers",54011.11470186618,11476.496824225535,2197,1150.4088930609787,20,"Washington","04000US53","washington"
8,"Other",2017,"2017","true","true","434051","Customer service representatives",30612.13316307917,6875.793858052499,2741,1284.8654338701951,16,"Washington","04000US53","washington"
8,"Other",2017,"2017","true","true","533030","Driver/sales workers & truck drivers",43188.189758414206,23687.2266913115,4843,1707.3739516707594,36,"Washington","04000US53","washington"
8,"Other",2017,"2017","true","true","252020","Elementary & middle school teachers",35102.08057553957,13066.166475286118,1390,915.1560166973479,11,"Washington","04000US53","washington"
1,"White",2017,"2017","true","true","533030","Driver/sales workers & truck drivers",45246.20579475614,3172.0434675558977,58087,5867.427150952478,576,"Washington","04000US53","washington"
1,"White",2017,"2017","true","true","434051","Customer service representatives",34894.8858846649,3624.0044290001624,44271,5132.696798831103,427,"Washington","04000US53","washington"
6,"Asian",2017,"2017","true","true","252020","Elementary & middle school teachers",53851.33515919206,13191.9853669786,2921,1326.3484393839562,34,"Washington","04000US53","washington"
6,"Asian",2017,"2017","true","true","533030","Driver/sales workers & truck drivers",36975.31215900234,8428.537297668374,2566,1243.2040486031374,22,"Washington","04000US53","washington"
6,"Asian",2017,"2017","true","true","434051","Customer service representatives",39662.393856029346,12963.81634772999,4362,1620.4826812741596,39,"Washington","04000US53","washington"
2,"Black",2017,"2017","true","true","533030","Driver/sales workers & truck drivers",39866.536199095026,7889.78280782631,3094,1365.0267720727966,21,"Washington","04000US53","washington"
2,"Black",2017,"2017","true","true","252020","Elementary & middle school teachers",38769.58767268863,26690.854891791823,941,753.0272005290544,11,"Washington","04000US53","washington"
3,"American Indian",2017,"2017","true","true","252020","Elementary & middle school teachers",17163.401515151516,20740.661182735003,264,398.89647390319936,5,"Washington","04000US53","washington"
7,"Native Hawaiian and Other Pacific Islander",2017,"2017","true","true","434051","Customer service representatives",31553.19744744745,12764.767167320573,1332,895.8668845916893,8,"Washington","04000US53","washington"
6,"Asian",2016,"2016","true","true","252020","Elementary & middle school teachers",52293.3087790111,13203.266565315018,1982,1092.6930288729582,22,"Washington","04000US53","washington"
2,"Black",2016,"2016","true","true","252020","Elementary & middle school teachers",56614.532075471696,19355.236883302936,795,692.1605215795329,7,"Washington","04000US53","washington"
6,"Asian",2016,"2016","true","true","434051","Customer service representatives",55414.73625214295,19637.110053674893,7583,2135.519701412784,62,"Washington","04000US53","washington"
6,"Asian",2016,"2016","true","true","533030","Driver/sales workers & truck drivers",43385.67744085305,14009.830867040877,3001,1344.3529227332947,17,"Washington","04000US53","washington"
9,"Two or More Races",2016,"2016","true","true","252020","Elementary & middle school teachers",42681.65720720721,12763.253045812418,2220,1156.3982072163576,19,"Washington","04000US53","washington"
8,"Other",2016,"2016","true","true","252020","Elementary & middle school teachers",39604.266871165644,12187.057251875893,1630,990.9755985734026,10,"Washington","04000US53","washington"
8,"Other",2016,"2016","true","true","533030","Driver/sales workers & truck drivers",35521.38464574699,6243.133475835192,5067,1746.311745048525,27,"Washington","04000US53","washington"
8,"Other",2016,"2016","true","true","434051","Customer service representatives",19616.065830721003,6506.361769509865,1595,980.2836749646752,12,"Washington","04000US53","washington"
2,"Black",2016,"2016","true","true","533030","Driver/sales workers & truck drivers",56144.94127460794,17266.531266640846,2997,1343.457489508937,23,"Washington","04000US53","washington"
9,"Two or More Races",2016,"2016","true","true","533030","Driver/sales workers & truck drivers",34929.333214158025,9683.440003936279,2797,1297.8955865071785,20,"Washington","04000US53","washington"
9,"Two or More Races",2016,"2016","true","true","434051","Customer service representatives",29077.129441624365,7583.142569015298,3152,1377.7284073610062,30,"Washington","04000US53","washington"
3,"American Indian",2016,"2016","true","true","533030","Driver/sales workers & truck drivers",41396.3879093199,29112.73350921991,397,489.15252192923816,5,"Washington","04000US53","washington"
1,"White",2016,"2016","true","true","434051","Customer service representatives",33449.565531080196,4424.446430844134,44353,5136.2287904237055,411,"Washington","04000US53","washington"
1,"White",2016,"2016","true","true","533030","Driver/sales workers & truck drivers",42739.96933577008,3913.342260449355,61831,6048.333564751461,539,"Washington","04000US53","washington"
1,"White",2016,"2016","true","true","252020","Elementary & middle school teachers",49752.17419296473,2937.8276688996066,66323,6259.90966781491,743,"Washington","04000US53","washington"
2,"Black",2016,"2016","true","true","434051","Customer service representatives",57907.48902821317,36045.62082517633,2552,1239.7945950195772,16,"Washington","04000US53","washington"
1,"White",2015,"2015","true","true","533030","Driver/sales workers & truck drivers",40688.953921812514,3140.440469641252,52259,5567.520749365493,515,"Washington","04000US53","washington"
1,"White",2015,"2015","true","true","434051","Customer service representatives",33214.03099240256,3764.9786452429526,46463,5254.42454711794,438,"Washington","04000US53","washington"
9,"Two or More Races",2015,"2015","true","true","434051","Customer service representatives",25613.355210643014,15061.665249796912,2255,1165.4628694127057,17,"Washington","04000US53","washington"
9,"Two or More Races",2015,"2015","true","true","533030","Driver/sales workers & truck drivers",37765.1923566879,9142.845852107324,3140,1375.0904198324306,26,"Washington","04000US53","washington"
8,"Other",2015,"2015","true","true","533030","Driver/sales workers & truck drivers",33163.22049586777,5128.457080760368,3025,1349.6984686751905,17,"Washington","04000US53","washington"
8,"Other",2015,"2015","true","true","434051","Customer service representatives",39502.828660436135,36059.74032396174,642,622.0133341885723,8,"Washington","04000US53","washington"
6,"Asian",2015,"2015","true","true","533030","Driver/sales workers & truck drivers",50904.05124340618,18098.893114670227,1327,894.174341139107,13,"Washington","04000US53","washington"
1,"White",2015,"2015","true","true","252020","Elementary & middle school teachers",46800.2690919408,2543.4966180466613,63443,6123.759915616686,725,"Washington","04000US53","washington"
2,"Black",2015,"2015","true","true","252020","Elementary & middle school teachers",33181.665427509295,26790.4247363833,807,697.3615590344824,6,"Washington","04000US53","washington"
3,"American Indian",2015,"2015","true","true","252020","Elementary & middle school teachers",43463.849740932645,32149.55845981412,579,590.7117930016907,5,"Washington","04000US53","washington"
3,"American Indian",2015,"2015","true","true","533030","Driver/sales workers & truck drivers",22438.68156862745,11671.103077970407,1275,876.4866064206914,9,"Washington","04000US53","washington"
3,"American Indian",2015,"2015","true","true","434051","Customer service representatives",22027.811059907835,24732.196353024654,434,511.4354658072273,8,"Washington","04000US53","washington"
6,"Asian",2015,"2015","true","true","252020","Elementary & middle school teachers",37616.891100055276,15181.282683599507,3618,1475.9409509685745,34,"Washington","04000US53","washington"
2,"Black",2015,"2015","true","true","533030","Driver/sales workers & truck drivers",33945.89682539683,6855.483019887799,3780,1508.5852124081678,26,"Washington","04000US53","washington"
7,"Native Hawaiian and Other Pacific Islander",2015,"2015","true","true","434051","Customer service representatives",31248.19875,17079.675254055117,800,694.3312215568047,5,"Washington","04000US53","washington"
6,"Asian",2015,"2015","true","true","434051","Customer service representatives",33852.972543352604,7979.621682652937,4152,1580.9856209547374,32,"Washington","04000US53","washington"
2,"Black",2015,"2015","true","true","434051","Customer service representatives",23202.84171907757,5861.671426044822,2862,1312.8638778131085,19,"Washington","04000US53","washington"
9,"Two or More Races",2015,"2015","true","true","252020","Elementary & middle school teachers",48450.042777229355,10556.402936856335,3039,1352.8152378800562,25,"Washington","04000US53","washington"
6,"Asian",2014,"2014","true","true","533030","Driver/sales workers & truck drivers",32112.061740558293,10833.2505281579,3045,1354.135361283304,23,"Washington","04000US53","washington"
